m/z;Retention_time;Compound_Name;;;;
45;4.421;Ethane, 1,1-diethoxy-;;;;
41.0135;4.457;Ethane, 1,1-diethoxy-;;;;
114.8615;5.57;2,2-Diethylacetamide;;;;
55.02337;5.98;2- Octene(Z)-;;;;
106.0959;7.414;Ethylbenzene;;;;
138.1;9.574;(-)-β-Citronellene;;;;
115;9.814;Isobutyl isothiocyanate;;;;
137.1;10.149;2-Octene, 3,7,-dimethyl-, (Z)-;;;;
105.0335;10.159;2-Octene, 3,7,-dimethyl-, (Z)-;;;;
120.0993;10.16;2-Octene, 3,7,-dimethyl-, (Z)-;;;;
83.09959;10.401;1,6-Octadiene, 5,7-dimethyl-;;;;
41.00897;10.637;5-Hepten-2-one, 6-methyl-;;;;
43.0009;10.659;5-Hepten-2-one, 6-methyl-;;;;
108.1;10.67;5-Hepten-2-one, 6-methyl-;;;;
120.1;10.788;Mesitylene;;;;
85.0987;10.923;Decane;;;;
123.1;11.31;1,3-Hexadiene, 3-ethyl-2,5-dimethyl-;;;;
95.09962;11.544;cis-Verbenyl acetate ;;;;
57.09971;11.607;p-Menthen-2-ol;;;;
68.04091;11.643;p-Menthen-2-ol;;;;
68.03262;11.65;p-Menthen-2-ol;;;;
57.1;11.66;p-Menthen-2-ol;;;;
57.1;11.751;Decane, 2,6,6-trimethyl-;;;;
84;12.124; 6-Methyl-2-heptanone;;;;
71.09891;12.452;2,6-Dimethyldecane-;;;;
71.09817;12.563;4-Nonanone, 7-ethyl-;;;;
85.09874;13.283;Undecane;;;;
85.1;15.467;Dodecane;;;;
97.1;16.881;1-Hexadecanol;;;;
111.1;17.032;1,7-Dimethyl-4-(1-methylethyl)cyclodecane;;;;
85.1;17.501;Tridecane;;;;
73;18.026;Tetradecane;;;;
73;18.04;Tetradecane;;;;
204.2;18.966; Cyclosativene;;;;
71.06097;18.973; Cyclosativene;;;;
161.1;19.106;Copaene;;;;
85.1;19.409;9,12-Tetradecadien-1-ol, (Z,E)-;;;;
109.1;19.446;9,12-Tetradecadien-1-ol, (Z,E)-;;;;
95.09933;19.546;1,5,9-Decatriene, 2,3,5,8-tetramethyl-;;;;
133.1;19.953;Caryophyllene;;;;
189.2;20.47;4a,8-Dimethyl-2-(prop-1-en-2-yl)-1,2,3,4,4a,5,6,7-octahydronaphtalane;;;;
85.0998;20.539;Farnesan;;;;
121.1;20.573;Humulene;;;;
91;20.71;Aromandendrene;;;;
161.1;20.947;γ-Muurolene;;;;
85.1;22.905;Octadecane;;;;
85.09886;26.048;Nonadecane;;;;
73;28.341;n-Hexadecanoic acid;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
